dir,iot,ext,sport,dport,sizeBin,label
1,172.16.1.12,172.16.4.10,6.57460,6.22,M,login
1,172.16.2.12,192.168.1.41,6.44872,6.22,M,login
1,172.16.1.12,172.16.6.11,6.57728,6.22,M,login
1,172.16.5.3,172.16.6.12,6.34388,6.22,M,login
1,172.16.7.4,172.16.5.11,6.57718,6.22,M,login
1,172.16.5.6,172.16.6.14,6.51574,6.22,M,login
1,172.16.2.8,172.16.4.10,6.47282,6.22,M,login
1,172.16.4.9,172.16.7.9,6.60806,6.22,M,login
1,172.16.4.13,172.16.1.9,6.54884,6.22,M,login
1,172.16.3.4,172.16.1.9,6.42542,6.22,M,login
1,172.16.1.3,172.16.6.11,6.49814,6.22,M,login
1,172.16.3.6,172.16.5.12,6.34336,6.22,M,login
1,172.16.1.8,172.16.6.12,6.49818,6.22,M,login
1,172.16.5.6,172.16.6.14,6.52172,6.22,M,login
1,172.16.5.8,172.16.1.9,6.54680,6.22,M,login
1,172.16.2.8,172.16.4.10,6.46942,6.22,M,login
1,172.16.3.4,172.16.4.7,6.55656,6.22,M,login
1,172.16.4.5,192.168.1.6,6.39406,6.22,M,login
1,172.16.1.8,172.16.6.12,6.49544,6.22,M,login
1,172.16.1.8,192.168.1.6,6.42744,6.22,M,login
1,172.16.1.3,172.16.6.11,6.49790,6.22,M,login
1,172.16.3.10,172.16.7.11,6.36400,6.22,M,login
1,172.16.4.9,172.16.7.9,6.60838,6.22,M,login
1,172.16.2.12,172.16.6.14,6.44504,6.22,M,login
1,172.16.5.5,172.16.4.7,6.58596,6.22,M,login
1,172.16.2.14,172.16.7.13,6.51572,6.22,M,login
1,172.16.7.4,172.16.5.11,6.57716,6.22,M,login
1,172.16.5.3,172.16.6.12,6.34012,6.22,M,login
1,172.16.3.4,192.168.1.41,6.58674,6.22,M,login
1,172.16.2.12,172.16.6.14,6.44626,6.22,M,login
1,172.16.4.9,172.16.5.10,6.41208,6.22,M,login
1,172.16.3.6,172.16.6.11,6.37956,6.22,M,login
1,172.16.2.14,172.16.4.7,6.39724,6.22,M,login
1,172.16.4.5,192.168.1.6,6.38066,6.22,M,login
1,172.16.7.6,172.16.6.12,6.51130,6.22,M,login
1,172.16.2.12,172.16.6.14,6.44624,6.22,M,login
1,172.16.4.9,172.16.5.10,6.41374,6.22,M,login
1,172.16.1.8,192.168.1.6,6.41806,6.22,M,login
1,172.16.1.3,172.16.7.12,6.55466,6.22,M,login
1,172.16.7.6,172.16.4.7,6.43256,6.22,M,login
1,172.16.7.6,192.168.1.6,6.36270,6.22,M,login
1,172.16.6.12,192.168.1.41,6.42940,6.22,M,login
1,172.16.2.14,172.16.4.7,6.40180,6.22,M,login
1,172.16.2.12,192.168.1.41,6.44682,6.22,M,login
1,172.16.1.9,192.168.1.41,6.42898,6.22,M,login
1,172.16.5.8,172.16.2.6,6.51898,6.22,M,login
1,172.16.2.14,172.16.7.13,6.51478,6.22,M,login
1,172.16.5.3,172.16.2.6,6.53530,6.22,M,login
1,172.16.4.4,192.168.1.6,6.49866,6.22,M,login
1,172.16.7.6,192.168.1.6,6.37494,6.22,M,login
1,172.16.6.14,172.16.7.10,6.54064,6.22,M,login
1,172.16.5.8,172.16.2.6,6.52240,6.22,M,login
1,172.16.3.10,172.16.7.11,6.36408,6.22,M,login
1,172.16.2.12,172.16.7.10,6.58182,6.22,M,login
1,172.16.7.6,192.168.1.6,6.37022,6.22,M,login
1,172.16.6.4,172.16.5.13,6.38924,6.22,M,login
1,172.16.3.7,172.16.1.9,6.47684,6.22,M,login
1,172.16.4.9,172.16.7.9,6.60888,6.22,M,login
1,172.16.4.11,192.168.1.6,6.46326,6.22,M,login
1,172.16.2.8,172.16.4.10,6.46726,6.22,M,login
1,172.16.2.13,172.16.4.10,6.56870,6.22,M,login
1,172.16.2.8,172.16.4.10,6.46680,6.22,M,login
1,172.16.5.6,172.16.6.14,6.51942,6.22,M,login
1,172.16.2.13,192.168.1.41,6.52608,6.22,M,login
1,172.16.2.9,172.16.4.8,6.59252,6.22,M,login
1,172.16.2.13,172.16.4.10,6.57524,6.22,M,login
1,172.16.4.9,172.16.5.10,6.41518,6.22,M,login
1,172.16.2.13,192.168.1.41,6.52546,6.22,M,login
